"Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
1153.89287396611,1151.54510307225,1156.24064485998,1150.30226823503,1157.4834796972
1155.54326459079,1150.69890662691,1160.38762255466,1148.13445842747,1162.95207075411
1156.82509525387,1149.45940103482,1164.19078947293,1145.56023804592,1168.08995246183
1157.66274919341,1148.0189401299,1167.30655825692,1142.91381598898,1172.41168239785
1158.02831124414,1146.52360811144,1169.53301437684,1140.43338615556,1175.62323633272
1157.93901951433,1145.07478304999,1170.80325597868,1138.26486762173,1177.61317140694
1157.45095012876,1143.72784191638,1171.17405834114,1136.46326724861,1178.43863300891
1156.64989787457,1142.49304176184,1170.8067539873,1134.99885482546,1178.30094092369
1155.64056444739,1141.3427029015,1169.93842599328,1133.77387219769,1177.50725669709
1154.53519973779,1140.22840548422,1168.84199399136,1132.6548460906,1176.41555338498
