"Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
20.8377578913507,20.741108564529,20.9344072181725,20.6899455014371,20.9855702812643
20.8377578913507,20.6327155479041,21.0428002347973,20.5241726878632,21.1513430948382
20.8377578913507,20.564365073528,21.1111507091734,20.4196396579758,21.2558761247257
20.8377578913507,20.5099699979379,21.1655457847635,20.3364495687439,21.3390662139576
20.8377578913507,20.463396871346,21.2121189113554,20.2652221181896,21.4102936645119
20.8377578913507,20.4220086357531,21.2535071469483,20.2019242741335,21.4735915085679
20.8377578913507,20.3843830864035,21.2911326962979,20.1443809620995,21.5311348206019
20.8377578913507,20.3496493132742,21.3258664694272,20.0912602401473,21.5842555425541
20.8377578913507,20.3172281090876,21.3582876736138,20.0416762871879,21.6338394955135
20.8377578913507,20.2867111379315,21.3888046447699,19.9950046073341,21.6805111753673
